Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Jack Whetton,Highlanders,4,0,0,0,0,-,0,0,-,0,0,0,0
Cobus Wiese,Stormers,4,0,0,0,0,-,0,0,-,0,0,0,0
Matias Alemanno,Jaguares,3,0,0,0,0,-,0,0,-,0,0,0,0
Aaron Carroll,Blues,3,0,0,0,0,-,0,0,-,0,0,0,0
Dane Coles,Hurricanes,3,0,0,0,0,-,0,0,-,5,0,0,0
Filipo Daugunu,Reds,3,0,0,0,0,-,0,0,-,0,0,0,0
Jeronimo de la Fuente,Jaguares,3,0,0,0,0,-,0,0,-,0,0,0,0
Andrew Deegan,Rebels,3,3,4,1,2,66,0,0,-,14,8,266,0
Bautista Delguy,Jaguares,3,0,0,0,0,-,0,0,-,0,1,28,0
Joaquin Diaz Bonilla,Jaguares,3,4,7,1,1,62,0,0,-,11,23,652,0
Josh Dickson,Highlanders,3,0,0,0,0,-,0,0,-,0,0,0,0
Whetukamokamo Douglas,Crusaders,3,0,0,0,0,-,0,0,-,0,0,0,0
Tom English,Rebels,3,0,0,0,0,-,0,0,-,0,2,20,1
Chris Eves,Sunwolves,3,0,0,0,0,-,0,0,-,0,0,0,0
Folau Fainga'a,Brumbies,3,0,0,0,0,-,0,0,-,25,0,0,0
Jackson Garden-Bachop,Hurricanes,3,1,1,0,0,100,0,0,-,2,21,742,0
Josh Goodhue,Blues,3,0,0,0,0,-,0,0,-,0,0,0,0
Reece Hodge,Rebels,3,1,1,0,0,100,0,0,-,2,2,81,0
Harry Hoopert,Reds,3,0,0,0,0,-,0,0,-,5,0,0,0
Akira Ioane,Blues,3,0,0,0,0,-,0,0,-,5,0,0,0
Will Jordan,Crusaders,3,0,0,0,0,-,0,0,-,10,10,257,1
Bayley Kuenzle,Brumbies,3,0,0,0,0,-,0,0,-,0,2,79,0
Harrison Lloyd,Brumbies,3,0,0,0,0,-,0,0,-,0,0,0,0
Lachlan Lonergan,Brumbies,3,0,0,0,0,-,0,0,-,0,0,0,0
Lisati Milo-Harris,Chiefs,3,0,0,0,0,-,0,0,-,0,0,0,0
Joshua Nasser,Reds,3,0,0,0,0,-,0,0,-,5,0,0,0
S'busiso Nkosi,Sharks,3,0,0,0,0,-,0,0,-,5,4,163,0
Burger  Odendaal,Bulls,3,0,0,0,0,-,0,0,-,0,4,96,1
Javier Ortega Desio,Jaguares,3,0,0,0,0,-,0,0,-,5,0,0,0
Ryno Pieterse,Bulls,3,0,0,0,0,-,0,0,-,0,0,0,0
James Ramm,Waratahs,3,0,0,0,0,-,0,0,-,5,3,133,0
Shaun Reynolds,Lions,3,0,0,0,0,-,0,0,-,0,0,0,0
Ricky Riccitelli,Hurricanes,3,0,0,0,0,-,0,0,-,0,0,0,0
Tom Ross,Brumbies,3,0,0,0,0,-,0,0,-,0,0,0,0
Wandisile Simelane,Lions,3,0,0,0,0,-,0,0,-,0,1,25,0
Ruan Smith,Rebels,3,0,0,0,0,-,0,0,-,0,0,0,0
Moses Sorovi,Reds,3,0,0,0,0,-,0,0,-,0,1,51,0
Theo Strang,Rebels,3,0,0,0,0,-,0,0,-,0,0,0,0
Darcy Swain,Brumbies,3,0,0,0,0,-,0,0,-,0,0,0,0
Rob Thompson,Highlanders,3,0,0,0,0,-,0,0,-,0,3,81,0
Jamba Ulengo,Lions,3,0,0,0,0,-,0,0,-,5,3,109,0
Marco van Staden,Bulls,3,0,0,0,0,-,0,0,-,5,0,0,0
Kobus van Wyk,Hurricanes,3,0,0,0,0,-,0,0,-,20,0,0,0
Ruan Vermaak,Lions,3,0,0,0,0,-,0,0,-,0,0,0,0
Wian Vosloo,Bulls,3,0,0,0,0,-,0,0,-,0,0,0,0
Tei Walden,Highlanders,3,0,0,0,0,-,0,0,-,0,0,0,0
Kwenzokuhle Blose,Stormers,2,0,0,0,0,-,0,0,-,0,0,0,0
Phendulani Buthelezi,Sharks,2,0,0,0,0,-,0,0,-,0,0,0,0
Gerard Cowley Tuioti,Blues,2,0,0,0,0,-,0,0,-,5,0,0,0
Ed Craig,Reds,2,0,0,0,0,-,0,0,-,5,0,0,0
Agustin Creevy,Jaguares,2,0,0,0,0,-,0,0,-,10,0,0,0
Paul de Wet,Stormers,2,0,0,0,0,-,0,0,-,5,3,78,0
Ereatara Enari,Crusaders,2,0,0,0,0,-,0,0,-,0,4,98,0
Felipe Ezcurra,Jaguares,2,0,0,0,0,-,0,0,-,0,4,133,0
Tima Fainga'anuku,Highlanders,2,0,0,0,0,-,0,0,-,0,0,0,0
Nick Frost,Brumbies,2,0,0,0,0,-,0,0,-,0,0,0,0
Johan Grobbelaar,Bulls,2,0,0,0,0,-,0,0,-,0,0,0,0
John Adrian Groenewald,Bulls,2,0,0,0,0,-,0,0,-,0,0,0,0
Jordan Hyland,Blues,2,0,0,0,0,-,0,0,-,0,0,0,0
Ben Hyne,Sunwolves,2,0,0,0,0,-,0,0,-,5,0,0,0
Marius Louw,Sharks,2,0,0,0,0,-,0,0,-,0,0,0,0
Tevita Mafileo,Hurricanes,2,0,0,0,0,-,0,0,-,0,0,0,0
Campbell Magnay,Rebels,2,0,0,0,0,-,0,0,-,0,0,0,0
Mzamo Majola,Sharks,2,0,0,0,0,-,0,0,-,5,0,0,0
Tumua Manu,Chiefs,2,0,0,0,0,-,0,0,-,5,2,79,0
Manasa Mataele,Crusaders,2,0,0,0,0,-,0,0,-,0,2,84,0
Duncan Matthews,Lions,2,0,0,0,0,-,0,0,-,0,1,48,0
Ben May,Hurricanes,2,0,0,0,0,-,0,0,-,0,0,0,0
Brodie McAlister,Crusaders,2,0,0,0,0,-,0,0,-,0,0,0,0
Lachlan McCaffrey,Brumbies,2,0,0,0,0,-,0,0,-,0,0,0,0
Michael McDonald,Waratahs,2,0,0,0,0,-,0,0,-,0,0,0,0
Dallas McLeod,Crusaders,2,0,0,0,0,-,0,0,-,0,0,0,0
Lwazi Mvovo,Sharks,2,0,0,0,0,-,0,0,-,0,0,0,0
Abongile Nonkontwana,Bulls,2,0,0,0,0,-,0,0,-,0,0,0,0
Xavier Numia,Hurricanes,2,0,0,0,0,-,0,0,-,0,0,0,0
Brendon O'Connor,Sunwolves,2,0,0,0,0,-,0,0,-,0,0,0,0
Rory O'Connor,Waratahs,2,0,0,0,0,-,0,0,-,0,0,0,0
Conan O'Donnell,Highlanders,2,0,0,0,0,-,0,0,-,0,0,0,0
Jumpei Ogura,Sunwolves,2,2,3,1,1,75,0,0,-,7,1,15,0
Reesjan Pasitoa,Brumbies,2,1,1,0,0,100,0,0,-,2,0,0,0
Jordan Petaia,Reds,2,0,0,0,0,-,0,0,-,0,0,0,0
Rikus Pretorius,Stormers,2,0,0,0,0,-,0,0,-,0,0,0,0
Reed Prinsep,Hurricanes,2,0,0,0,0,-,0,0,-,0,0,0,0
Toni Pulu,Brumbies,2,0,0,0,0,-,0,0,-,5,0,0,0
Marcel Renata,Blues,2,0,0,0,0,-,0,0,-,0,0,0,0
Dylan Richardson,Sharks,2,0,0,0,0,-,0,0,-,5,0,0,0
Manaaki Selby-Rickit,Highlanders,2,0,0,0,0,-,0,0,-,0,0,0,0
Dillon Smit,Lions,2,0,0,0,0,-,0,0,-,0,0,0,0
Patrick Tafa,Waratahs,2,0,0,0,0,-,0,0,-,0,0,0,0
Yoshizumi Takeda,Sunwolves,2,0,0,0,0,-,0,0,-,0,2,50,0
Jeff Thwaites,Highlanders,2,0,0,0,0,-,0,0,-,0,0,0,0
Luteru Tolai,Blues,2,0,0,0,0,-,0,0,-,0,0,0,0
Nafi Tuitavake,Bulls,2,0,0,0,0,-,0,0,-,0,0,0,0
Jordan Uelese,Rebels,2,0,0,0,0,-,0,0,-,0,0,0,0
Seru Uru,Reds,2,0,0,0,0,-,0,0,-,0,0,0,0
Muller Uys,Bulls,2,0,0,0,0,-,0,0,-,0,0,0,0
Frans van Wyk,Lions,2,0,0,0,0,-,0,0,-,0,0,0,0
Tomas Albornoz,Jaguares,1,1,1,0,0,100,0,0,-,2,2,140,0
Leni Apisai,Sunwolves,1,0,0,0,0,-,0,0,-,0,0,0,0
Fergus Burke,Crusaders,1,2,2,0,0,100,0,0,-,9,0,0,0
Mateo Carreras,Jaguares,1,0,0,0,0,-,0,0,-,0,6,224,0
Boeta Chamberlain,Sharks,1,1,1,0,0,100,0,0,-,2,1,44,0
Cameron Clark,Waratahs,1,0,0,0,0,-,0,0,-,0,0,0,0
Ryan Coxon,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Javier Diaz,Jaguares,1,0,0,0,0,-,0,0,-,0,0,0,0
Tiaan Falcon,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Feao Fotuaika,Reds,1,0,0,0,0,-,0,0,-,0,0,0,0
Scott Gregory,Highlanders,1,0,0,0,0,-,0,0,-,5,0,0,0
Santiago Grondona,Jaguares,1,0,0,0,0,-,0,0,-,0,0,0,0
Alex Hodgman,Blues,1,0,0,0,0,-,0,0,-,0,0,0,0
Alex Horan,Sunwolves,1,0,0,0,0,-,0,0,-,0,0,0,0
Len Ikitau,Brumbies,1,0,0,0,0,-,0,0,-,0,0,0,0
Josh Iosefa-Scott,Highlanders,1,0,0,0,0,-,0,0,-,0,0,0,0
Jordan Jackson-Hope,Sunwolves,1,0,0,0,0,-,0,0,-,0,1,42,0
Luke Jacobson,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Marco Jansen van Vuuren,Bulls,1,0,0,0,0,-,0,0,-,0,0,0,0
Luke Jones,Rebels,1,0,0,0,0,-,0,0,-,0,0,0,0
Takahiro Kimura,Sunwolves,1,0,0,0,0,-,0,0,-,0,0,0,0
Siya Kolisi,Stormers,1,0,0,0,0,-,0,0,-,0,0,0,0
Kirisi Kuridrani,Highlanders,1,0,0,0,0,-,0,0,-,0,0,0,0
Nepo Laulala,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Orbyn Leger,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Siosifa Lisala,Waratahs,1,0,0,0,0,-,0,0,-,0,0,0,0
Donald Maka,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
James Marshall,Hurricanes,1,0,0,0,0,-,0,0,-,0,0,0,0
Simphiwe Matanzima,Bulls,1,0,0,0,0,-,0,0,-,0,0,0,0
Bongi Mbonambi,Stormers,1,0,0,0,0,-,0,0,-,0,0,0,0
Sam McNicol,Chiefs,1,0,0,0,0,-,0,0,-,0,2,108,0
David Meihuzen,Stormers,1,0,0,0,0,-,0,0,-,0,0,0,0
Liam Mitchell,Hurricanes,1,0,0,0,0,-,0,0,-,0,0,0,0
Tepai Moeroa,Waratahs,1,0,0,0,0,-,0,0,-,0,0,0,0
Franco Naude,Bulls,1,0,0,0,0,-,0,0,-,0,0,0,0
Dylan Nel,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Ray Niuia,Blues,1,0,0,0,0,-,0,0,-,0,0,0,0
Oliver Norris,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Matias Orlando,Jaguares,1,0,0,0,0,-,0,0,-,0,0,0,0
Brandon Paenga-Amosa,Reds,1,0,0,0,0,-,0,0,-,0,0,0,0
Pari Pari Parkinson,Highlanders,1,0,0,0,0,-,0,0,-,0,0,0,0
Juan Bautista Pedemonte,Jaguares,1,0,0,0,0,-,0,0,-,0,0,0,0
Ngane Punivai,Highlanders,1,0,0,0,0,-,0,0,-,0,0,0,0
Hugh Roach,Crusaders,1,0,0,0,0,-,0,0,-,0,0,0,0
Ethan Roots,Crusaders,1,0,0,0,0,-,0,0,-,0,0,0,0
Fereti Sa'aga,Rebels,1,0,0,0,0,-,0,0,-,0,0,0,0
Lucio Sordoni,Jaguares,1,0,0,0,0,-,0,0,-,0,0,0,0
Tiaan Swanepoel,Lions,1,0,0,0,0,-,0,0,-,0,2,106,0
Angus Ta'avao,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Chris Talakai,Waratahs,1,0,0,0,0,-,0,0,-,0,0,0,0
Jonathan Taumateine,Hurricanes,1,0,0,0,0,-,0,0,-,0,0,0,0
Corey Thomas,Sunwolves,1,0,0,0,0,-,0,0,-,0,0,0,0
Adam Thomson,Chiefs,1,0,0,0,0,-,0,0,-,0,0,0,0
Chase Tiatia,Hurricanes,1,1,2,0,0,50,0,0,-,12,1,36,0
Carlo Tizzano,Waratahs,1,0,0,0,0,-,0,0,-,0,0,0,0
Patelesio Tomkinson,Highlanders,1,0,0,0,0,-,0,0,-,0,1,46,0
Andrew Tuala,Waratahs,1,0,0,0,0,-,0,0,-,0,0,0,0
Joaquin Tuculet,Jaguares,1,0,0,0,0,-,0,0,-,5,2,54,0
Peter Umaga-Jensen,Hurricanes,1,0,0,0,0,-,0,0,-,0,0,0,0
Joe Walsh,Blues,1,0,0,0,0,-,0,0,-,0,0,0,0
Kyo Yoshida,Sunwolves,1,0,0,0,0,-,0,0,-,0,0,0,0
