Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Harrison Lloyd,BRU,3,0,0,0,0,-,0,0,-,0,0,0,0
Lachlan Lonergan,BRU,3,0,0,0,0,-,0,0,-,0,0,0,0
Lisati Milo-Harris,CHI,3,0,0,0,0,-,0,0,-,0,0,0,0
Joshua Nasser,RED,3,0,0,0,0,-,0,0,-,5,0,0,0
S'busiso Nkosi,SHA,3,0,0,0,0,-,0,0,-,5,4,163,0
Burger  Odendaal,BUL,3,0,0,0,0,-,0,0,-,0,4,96,1
Javier Ortega Desio,JAG,3,0,0,0,0,-,0,0,-,5,0,0,0
Ryno Pieterse,BUL,3,0,0,0,0,-,0,0,-,0,0,0,0
James Ramm,WAR,3,0,0,0,0,-,0,0,-,5,3,133,0
Shaun Reynolds,LIO,3,0,0,0,0,-,0,0,-,0,0,0,0
Ricky Riccitelli,HUR,3,0,0,0,0,-,0,0,-,0,0,0,0
Tom Ross,BRU,3,0,0,0,0,-,0,0,-,0,0,0,0
Wandisile Simelane,LIO,3,0,0,0,0,-,0,0,-,0,1,25,0
Ruan Smith,REB,3,0,0,0,0,-,0,0,-,0,0,0,0
Moses Sorovi,RED,3,0,0,0,0,-,0,0,-,0,1,51,0
Theo Strang,REB,3,0,0,0,0,-,0,0,-,0,0,0,0
Darcy Swain,BRU,3,0,0,0,0,-,0,0,-,0,0,0,0
Rob Thompson,HIG,3,0,0,0,0,-,0,0,-,0,3,81,0
Jamba Ulengo,LIO,3,0,0,0,0,-,0,0,-,5,3,109,0
Marco van Staden,BUL,3,0,0,0,0,-,0,0,-,5,0,0,0
Kobus van Wyk,HUR,3,0,0,0,0,-,0,0,-,20,0,0,0
Ruan Vermaak,LIO,3,0,0,0,0,-,0,0,-,0,0,0,0
Wian Vosloo,BUL,3,0,0,0,0,-,0,0,-,0,0,0,0
Tei Walden,HIG,3,0,0,0,0,-,0,0,-,0,0,0,0
Kwenzokuhle Blose,STO,2,0,0,0,0,-,0,0,-,0,0,0,0
Phendulani Buthelezi,SHA,2,0,0,0,0,-,0,0,-,0,0,0,0
Gerard Cowley Tuioti,BLU,2,0,0,0,0,-,0,0,-,5,0,0,0
Ed Craig,RED,2,0,0,0,0,-,0,0,-,5,0,0,0
Agustin Creevy,JAG,2,0,0,0,0,-,0,0,-,10,0,0,0
Paul de Wet,STO,2,0,0,0,0,-,0,0,-,5,3,78,0
Ereatara Enari,CRU,2,0,0,0,0,-,0,0,-,0,4,98,0
Felipe Ezcurra,JAG,2,0,0,0,0,-,0,0,-,0,4,133,0
Tima Fainga'anuku,HIG,2,0,0,0,0,-,0,0,-,0,0,0,0
Nick Frost,BRU,2,0,0,0,0,-,0,0,-,0,0,0,0
Johan Grobbelaar,BUL,2,0,0,0,0,-,0,0,-,0,0,0,0
John Adrian Groenewald,BUL,2,0,0,0,0,-,0,0,-,0,0,0,0
Jordan Hyland,BLU,2,0,0,0,0,-,0,0,-,0,0,0,0
Ben Hyne,SUN,2,0,0,0,0,-,0,0,-,5,0,0,0
Marius Louw,SHA,2,0,0,0,0,-,0,0,-,0,0,0,0
Tevita Mafileo,HUR,2,0,0,0,0,-,0,0,-,0,0,0,0
Campbell Magnay,REB,2,0,0,0,0,-,0,0,-,0,0,0,0
Mzamo Majola,SHA,2,0,0,0,0,-,0,0,-,5,0,0,0
Tumua Manu,CHI,2,0,0,0,0,-,0,0,-,5,2,79,0
Manasa Mataele,CRU,2,0,0,0,0,-,0,0,-,0,2,84,0
Duncan Matthews,LIO,2,0,0,0,0,-,0,0,-,0,1,48,0
Ben May,HUR,2,0,0,0,0,-,0,0,-,0,0,0,0
Brodie McAlister,CRU,2,0,0,0,0,-,0,0,-,0,0,0,0
Lachlan McCaffrey,BRU,2,0,0,0,0,-,0,0,-,0,0,0,0
Michael McDonald,WAR,2,0,0,0,0,-,0,0,-,0,0,0,0
Dallas McLeod,CRU,2,0,0,0,0,-,0,0,-,0,0,0,0
Lwazi Mvovo,SHA,2,0,0,0,0,-,0,0,-,0,0,0,0
Abongile Nonkontwana,BUL,2,0,0,0,0,-,0,0,-,0,0,0,0
Xavier Numia,HUR,2,0,0,0,0,-,0,0,-,0,0,0,0
Brendon O'Connor,SUN,2,0,0,0,0,-,0,0,-,0,0,0,0
Rory O'Connor,WAR,2,0,0,0,0,-,0,0,-,0,0,0,0
Conan O'Donnell,HIG,2,0,0,0,0,-,0,0,-,0,0,0,0
Jumpei Ogura,SUN,2,2,3,1,1,75,0,0,-,7,1,15,0
Reesjan Pasitoa,BRU,2,1,1,0,0,100,0,0,-,2,0,0,0
Jordan Petaia,RED,2,0,0,0,0,-,0,0,-,0,0,0,0
Rikus Pretorius,STO,2,0,0,0,0,-,0,0,-,0,0,0,0
Reed Prinsep,HUR,2,0,0,0,0,-,0,0,-,0,0,0,0
Toni Pulu,BRU,2,0,0,0,0,-,0,0,-,5,0,0,0
Marcel Renata,BLU,2,0,0,0,0,-,0,0,-,0,0,0,0
Dylan Richardson,SHA,2,0,0,0,0,-,0,0,-,5,0,0,0
Manaaki Selby-Rickit,HIG,2,0,0,0,0,-,0,0,-,0,0,0,0
Dillon Smit,LIO,2,0,0,0,0,-,0,0,-,0,0,0,0
Patrick Tafa,WAR,2,0,0,0,0,-,0,0,-,0,0,0,0
Yoshizumi Takeda,SUN,2,0,0,0,0,-,0,0,-,0,2,50,0
Jeff Thwaites,HIG,2,0,0,0,0,-,0,0,-,0,0,0,0
Luteru Tolai,BLU,2,0,0,0,0,-,0,0,-,0,0,0,0
Nafi Tuitavake,BUL,2,0,0,0,0,-,0,0,-,0,0,0,0
Jordan Uelese,REB,2,0,0,0,0,-,0,0,-,0,0,0,0
Seru Uru,RED,2,0,0,0,0,-,0,0,-,0,0,0,0
Muller Uys,BUL,2,0,0,0,0,-,0,0,-,0,0,0,0
Frans van Wyk,LIO,2,0,0,0,0,-,0,0,-,0,0,0,0
Tomas Albornoz,JAG,1,1,1,0,0,100,0,0,-,2,2,140,0
Leni Apisai,SUN,1,0,0,0,0,-,0,0,-,0,0,0,0
Fergus Burke,CRU,1,2,2,0,0,100,0,0,-,9,0,0,0
Mateo Carreras,JAG,1,0,0,0,0,-,0,0,-,0,6,224,0
Boeta Chamberlain,SHA,1,1,1,0,0,100,0,0,-,2,1,44,0
Cameron Clark,WAR,1,0,0,0,0,-,0,0,-,0,0,0,0
Ryan Coxon,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Javier Diaz,JAG,1,0,0,0,0,-,0,0,-,0,0,0,0
Tiaan Falcon,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Feao Fotuaika,RED,1,0,0,0,0,-,0,0,-,0,0,0,0
Scott Gregory,HIG,1,0,0,0,0,-,0,0,-,5,0,0,0
Santiago Grondona,JAG,1,0,0,0,0,-,0,0,-,0,0,0,0
Alex Hodgman,BLU,1,0,0,0,0,-,0,0,-,0,0,0,0
Alex Horan,SUN,1,0,0,0,0,-,0,0,-,0,0,0,0
Len Ikitau,BRU,1,0,0,0,0,-,0,0,-,0,0,0,0
Josh Iosefa-Scott,HIG,1,0,0,0,0,-,0,0,-,0,0,0,0
Jordan Jackson-Hope,SUN,1,0,0,0,0,-,0,0,-,0,1,42,0
Luke Jacobson,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Marco Jansen van Vuuren,BUL,1,0,0,0,0,-,0,0,-,0,0,0,0
Luke Jones,REB,1,0,0,0,0,-,0,0,-,0,0,0,0
Takahiro Kimura,SUN,1,0,0,0,0,-,0,0,-,0,0,0,0
Siya Kolisi,STO,1,0,0,0,0,-,0,0,-,0,0,0,0
Kirisi Kuridrani,HIG,1,0,0,0,0,-,0,0,-,0,0,0,0
Nepo Laulala,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Orbyn Leger,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Siosifa Lisala,WAR,1,0,0,0,0,-,0,0,-,0,0,0,0
Donald Maka,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
James Marshall,HUR,1,0,0,0,0,-,0,0,-,0,0,0,0
Simphiwe Matanzima,BUL,1,0,0,0,0,-,0,0,-,0,0,0,0
Bongi Mbonambi,STO,1,0,0,0,0,-,0,0,-,0,0,0,0
Sam McNicol,CHI,1,0,0,0,0,-,0,0,-,0,2,108,0
David Meihuzen,STO,1,0,0,0,0,-,0,0,-,0,0,0,0
Liam Mitchell,HUR,1,0,0,0,0,-,0,0,-,0,0,0,0
Tepai Moeroa,WAR,1,0,0,0,0,-,0,0,-,0,0,0,0
Franco Naude,BUL,1,0,0,0,0,-,0,0,-,0,0,0,0
Dylan Nel,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Ray Niuia,BLU,1,0,0,0,0,-,0,0,-,0,0,0,0
Oliver Norris,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Matias Orlando,JAG,1,0,0,0,0,-,0,0,-,0,0,0,0
Brandon Paenga-Amosa,RED,1,0,0,0,0,-,0,0,-,0,0,0,0
Pari Pari Parkinson,HIG,1,0,0,0,0,-,0,0,-,0,0,0,0
Juan Bautista Pedemonte,JAG,1,0,0,0,0,-,0,0,-,0,0,0,0
Ngane Punivai,HIG,1,0,0,0,0,-,0,0,-,0,0,0,0
Hugh Roach,CRU,1,0,0,0,0,-,0,0,-,0,0,0,0
Ethan Roots,CRU,1,0,0,0,0,-,0,0,-,0,0,0,0
Fereti Sa'aga,REB,1,0,0,0,0,-,0,0,-,0,0,0,0
Lucio Sordoni,JAG,1,0,0,0,0,-,0,0,-,0,0,0,0
Tiaan Swanepoel,LIO,1,0,0,0,0,-,0,0,-,0,2,106,0
Angus Ta'avao,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Chris Talakai,WAR,1,0,0,0,0,-,0,0,-,0,0,0,0
Jonathan Taumateine,HUR,1,0,0,0,0,-,0,0,-,0,0,0,0
Corey Thomas,SUN,1,0,0,0,0,-,0,0,-,0,0,0,0
Adam Thomson,CHI,1,0,0,0,0,-,0,0,-,0,0,0,0
Chase Tiatia,HUR,1,1,2,0,0,50,0,0,-,12,1,36,0
Carlo Tizzano,WAR,1,0,0,0,0,-,0,0,-,0,0,0,0
Patelesio Tomkinson,HIG,1,0,0,0,0,-,0,0,-,0,1,46,0
Andrew Tuala,WAR,1,0,0,0,0,-,0,0,-,0,0,0,0
Joaquin Tuculet,JAG,1,0,0,0,0,-,0,0,-,5,2,54,0
Peter Umaga-Jensen,HUR,1,0,0,0,0,-,0,0,-,0,0,0,0
Joe Walsh,BLU,1,0,0,0,0,-,0,0,-,0,0,0,0
Kyo Yoshida,SUN,1,0,0,0,0,-,0,0,-,0,0,0,0
